-0.00151    -0.005
0.00129    0.01865
0.00409    0.0423
0.00775    0.06584
0.01157    0.08935
0.0154    0.11286
0.01922    0.13637
0.0231    0.15987
0.02704    0.18336
0.03097    0.20686
0.03548    0.23024
0.04073    0.25348
0.04597    0.27672
0.05161    0.29986
0.05828    0.32274
0.06722    0.34436
0.08329    0.36204
0.10283    0.37004
0.12527    0.3641
0.1422    0.34729
0.15784    0.32931
0.17304    0.31093
0.1882    0.29253
0.20273    0.27364
0.21682    0.2544
0.23263    0.23657
0.24871    0.21895
0.26479    0.20134
0.28094    0.18378
0.29723    0.16636
0.31416    0.14954
0.33205    0.13376
0.35012    0.11816
0.36789    0.10224
0.3856    0.08624
0.403    0.06992
0.42162    0.05506
0.44111    0.04125
0.46055    0.02738
0.47994    0.01345
0.49925    -0.0006
0.51813    -0.01521
0.53701    -0.02983
0.55589    -0.04445
0.57454    -0.05933
0.59202    -0.07557
0.60951    -0.09181
0.62781    -0.10708
0.64697    -0.12134
0.66492    -0.13699
0.68207    -0.15358
0.69923    -0.17016
0.71606    -0.18706
0.73196    -0.20483
0.74787    -0.2226
0.76353    -0.24058
0.77835    -0.25926
0.79316    -0.27794
0.8081    -0.29653
0.82312    -0.31505
0.83814    -0.33357
0.85554    -0.34974
0.87412    -0.36472
0.89285    -0.37782
0.91353    -0.36579
0.9302    -0.35045
0.93835    -0.32805
0.94649    -0.30564
0.95406    -0.28308
0.95886    -0.25975
0.96366    -0.23641
0.96819    -0.21303
0.97221    -0.18955
0.97623    -0.16607
0.98022    -0.14258
0.98415    -0.11909
0.98809    -0.0956
0.99164    -0.07205
0.99417    -0.04837
0.99671    -0.02469
