0.00061    -0.00084
-0.0186    0.00133
-0.03781    0.00349
-0.05703    0.00565
-0.07624    0.00782
-0.09545    0.00998
-0.11466    0.01214
-0.13387    0.0143
-0.15306    0.01684
-0.17224    0.01941
-0.19143    0.02198
-0.21061    0.02455
-0.22975    0.02767
-0.24876    0.03207
-0.26777    0.03646
-0.28679    0.04086
-0.30574    0.04559
-0.32408    0.0538
-0.34242    0.06202
-0.35705    0.07787
-0.36956    0.09809
-0.35575    0.11588
-0.34101    0.13276
-0.3244    0.14611
-0.30778    0.15946
-0.291    0.17239
-0.27359    0.18367
-0.25618    0.19495
-0.23953    0.20813
-0.2232    0.22214
-0.2074    0.23713
-0.19268    0.25417
-0.17796    0.27121
-0.16337    0.28846
-0.14936    0.30659
-0.13535    0.32472
-0.12127    0.34276
-0.10699    0.36049
-0.09271    0.37822
-0.07866    0.39628
-0.06473    0.41454
-0.05081    0.4328
-0.03688    0.45106
-0.02289    0.46922
-0.00889    0.48737
0.00511    0.50552
0.01901    0.5238
0.0329    0.54211
0.0468    0.56042
0.06069    0.57873
0.07465    0.59693
0.08865    0.61508
0.10265    0.63323
0.11654    0.65153
0.13037    0.66992
0.14421    0.68831
0.15896    0.7053
0.17371    0.72229
0.18846    0.73928
0.20377    0.75529
0.21911    0.77127
0.23511    0.78578
0.25233    0.7976
0.26955    0.80942
0.28655    0.82182
0.30334    0.83476
0.32013    0.84769
0.33616    0.86223
0.35161    0.87799
0.36338    0.89456
0.35221    0.91621
0.33891    0.93363
0.32028    0.9405
0.30166    0.94737
0.28303    0.95423
0.2644    0.9611
0.24558    0.96657
0.22645    0.96989
0.20732    0.97322
0.1882    0.97655
0.16907    0.97987
0.14995    0.9832
0.13076    0.98568
0.11155    0.98796
0.09235    0.99023
0.07314    0.99251
0.05394    0.99479
0.03474    0.99707
0.01553    0.99935
